tournament_id,tournament_en
10003063,PGL Wallachia Season 8
10003159,ESSENCE I
10003171,Randomania по Dota 2
10003154,ESL Challenger China Season 3 x ACL 2026
10003153,DreamLeague Division 2 Season 4
10003168,European Pro League Season 37
10003156,European Pro League Season 36
10003064,DreamLeague Season 29. Closed Qualifiers
10003126,PREMIER SERIES
10003065,BLAST Slam VII. Closed Qualifiers
10003062,ESL One Birmingham 2026
10003127,European Pro League Season 35
10003123,CCT Season 2 Series 8
10003061,PGL Wallachia Season 7
10003060,DreamLeague Season 28
10003104,CCT Season 2 Series 7
10003100,European Pro League Season 34
10003059,BLAST Slam VI
10003099,DreamLeague Division 2 Season 3
10003083,FISSURE Universe: Episode 8
10003069,ESL Challenger China
10003090,EPL Championship Season 1
10003035,CIS Battle 4
10003023,European Pro League Season 33
10002744,DreamLeague Season 27
10003033,Open киберспортивные студенческие Games Сбера 2025
10003025,Games Future 2025
10003028,Tennisi Stampede Champions: Season 1
10003009,Open киберспортивные Games 2025 Dota 2
10002983,BLAST Slam V
10003021,CCT Season 2 Series 6
10003000,BetBoom Streamers Battle х Динамо 12
10002974,PGL Wallachia Season 6
10002998,European Pro League Season 32
10002997,CIS Battle 3
10002999,DreamLeague Division 2 Season 2
10002747,BLAST Slam IV
10002975,FISSURE PLAYGROUND 2 — Dota 2
10002985,DreamLeague Division 2 Season 1
10002981,CCT Season 2 Series 5
10002984,FISSURE Universe: Episode 7
10002967,BetBoom Streamers Battle х Динамо 11
10002972,European Pro League Season 30
10002784,The International 2025
10002963,CIS Battle 2
10002931,FISSURE Universe: Episode 6
10002936,Кубок России Сбера 2025 по Dota 2
10002945,CCT Season 2 Series 4
10002957,European Pro League Season 29
10002950,CIS Battle
10002925,Clavision DOTA2 Masters 2025: Snow-Ruyi
10002956,European Pro League Season 28
10002932,CCT Season 2 Series 3
10002863,Riyadh Masters 2025
10002928,CCT Season 2 Series 2
10002926,European Pro League Season 27
10002921,Чемпионат России Сбера 2025 по Dota 2
10002889,FISSURE Universe: Episode 5
10002748,PGL Wallachia Season 5
10002916,CCT Season 2 Series 1
10002919,Национальная студенческая лига киберспорта Сбера 2025 Dota 2
10002899,Immortal Cup
10002908,BetBoom Streamers Battle 10
10002703,DreamLeague Season 26
10002893,European Pro League Season 26
10002901,Студенческая лига Сбера 2025
10002871,Asian Champions League 2025
10002743,BLAST Slam III
10002856,ACL X ESL Challenger China
10002705,PGL Wallachia Season 4
10002783,ESL One Raleigh 2025
10002879,FISSURE Special
10002883,Школьная лига Сбера 2025
10002868,European Pro League Season 25
10002876,CCT Series 8
10002827,FISSURE Universe: Episode 4
10002704,PGL Wallachia Season 3
10002854,BetBoom Egoisto Cup
10002846,European Pro League Season 24
10002841,CCT Series 7
10002702,DreamLeague Season 25
10002839,Friday Fight
10002829,BetBoom Streamers Battle 9
10002822,Asian Dragon Series: Continental Collision
10002701,BLAST Slam II
10002699,FISSURE PLAYGROUND Belgrade 2025
10002821,CCT Series 6
